id,name,component,type,language,module,source_file,source_line,table_name,column_type,nullable,primary_key,foreign_key,from_table,to_table,cardinality,tags,description
java_class_848933f0edaa74fc,AspectTableMapping,AspectTableMapping,class,java,net.netbeing.cheap.db,D:\src\claude\cheap\cheap-core\src\main\java\net\netbeing\cheap\db\AspectTableMapping.java,60,,,,,,,,,,"Maps an AspectDef to a database table, with property-to-column mappings.
<p>
This class enables aspects to be stored in and loaded from custom database tables
rather than the standard aspect/property_value tables.
</p>

<h2>Table Structure Patterns</h2>
<p>
The mapping supports four different table structure patterns based on the presence
of catalog_id and entity_id columns:
</p>
<ul>
  <li><b>No IDs (hasCatalogId=false, hasEntityId=false):</b>
      Generic lookup table with no primary key. Table is truncated before each save.
      Entity IDs are generated on load.</li>
  <li><b>Catalog ID only (hasCatalogId=true, hasEntityId=false):</b>
      Catalog-scoped table with no primary key. Rows for the catalog are deleted before save.
      Entity IDs are generated on load.</li>
  <li><b>Entity ID only (hasCatalogId=false, hasEntityId=true):</b>
      Entity-scoped table with PRIMARY KEY (entity_id). Standard behavior with
      INSERT...ON CONFLICT. Entity IDs are pre"
java_class_2ce524955ddc83f1,CheapJdbcAdapter,CheapJdbcAdapter,class,java,net.netbeing.cheap.db,D:\src\claude\cheap\cheap-core\src\main\java\net\netbeing\cheap\db\CheapJdbcAdapter.java,28,,,,,,,,,,net.netbeing.cheap.db.CheapJdbcAdapter
java_class_160a3874d5ad5017,CheapTestFactory,CheapTestFactory,class,java,net.netbeing.cheap.db,D:\src\claude\cheap\cheap-db-sqlite\src\test\java\net\netbeing\cheap\db\CheapTestFactory.java,31,,,,,,,,,,"Factory class for creating common test data used across cheap-db test classes.
This class helps reduce duplication in test setup by providing reusable methods
for creating and populating test Cheap elements and database tables.
"
java_class_1c35092be17644e5,JdbcCatalogBase,JdbcCatalogBase,class,java,net.netbeing.cheap.db,D:\src\claude\cheap\cheap-core\src\main\java\net\netbeing\cheap\db\JdbcCatalogBase.java,47,,,,,,,,,,"Base class for Catalog implementations that load database tables via JDBC.
Provides common functionality for mapping database schemas to Cheap AspectDefs
and loading table data into AspectMapHierarchies.
"
java_class_5c52b30330f385d6,DatabaseRunnerExtension,DatabaseRunnerExtension,class,java,net.netbeing.cheap.db.mariadb,D:\src\claude\cheap\cheap-db-mariadb\src\test\java\net\netbeing\cheap\db\mariadb\DatabaseRunnerExtension.java,31,,,,,,,,,,net.netbeing.cheap.db.mariadb.DatabaseRunnerExtension
java_class_9950c2fc5a8bd25d,MariaDbAdapter,MariaDbAdapter,class,java,net.netbeing.cheap.db.mariadb,D:\src\claude\cheap\cheap-db-mariadb\src\main\java\net\netbeing\cheap\db\mariadb\MariaDbAdapter.java,24,,,,,,,,,,net.netbeing.cheap.db.mariadb.MariaDbAdapter
java_class_7ba3dad20a444524,MariaDbCatalog,MariaDbCatalog,class,java,net.netbeing.cheap.db.mariadb,D:\src\claude\cheap\cheap-db-mariadb\src\main\java\net\netbeing\cheap\db\mariadb\MariaDbCatalog.java,87,,,,,,,,,,"Catalog implementation that loads MariaDB database tables as Cheap AspectMapHierarchies.
<p>
This class extends {@link JdbcCatalogBase} to provide MariaDB-specific database metadata
access and type mapping. It introspects MariaDB database schemas to automatically create
AspectDefs from table definitions, and loads table data as aspects within the catalog.
</p>
<p>
Each table in the MariaDB database is represented as an AspectDef with properties
corresponding to the table's columns. The table data is loaded into an AspectMapHierarchy
where each row becomes an Aspect attached to an Entity.
</p>
<p>
MariaDB-specific characteristics handled by this class:
</p>
<ul>
  <li>Schema support (defaults to ""public"" schema)</li>
  <li>Rich type system including UUID, JSON, arrays, geometric types, etc.</li>
  <li>Metadata accessed via information_schema.tables</li>
  <li>Strong type checking with custom type conversions</li>
  <li>Support for serial/bigserial auto-increment types"
java_class_66fd1ad94d47e2c5,MariaDbCatalogTest,MariaDbCatalogTest,class,java,net.netbeing.cheap.db.mariadb,D:\src\claude\cheap\cheap-db-mariadb\src\test\java\net\netbeing\cheap\db\mariadb\MariaDbCatalogTest.java,41,,,,,,,,,,net.netbeing.cheap.db.mariadb.MariaDbCatalogTest
java_class_dcf025727ed46eb5,MariaDbCheapSchema,MariaDbCheapSchema,class,java,net.netbeing.cheap.db.mariadb,D:\src\claude\cheap\cheap-db-mariadb\src\main\java\net\netbeing\cheap\db\mariadb\MariaDbCheapSchema.java,51,,,,,,,,,,"Utility class for executing MariaDB DDL scripts to manage the Cheap database schema.
Provides methods to create, audit, drop, and truncate the Cheap schema in MariaDB databases.

<h2>Usage</h2>
<pre>{@code
DataSource dataSource = createMariaDbDataSource(""jdbc:mariadb://localhost/cheapdb"");
MariaDbCheapSchema schema = new MariaDbCheapSchema();

// Create the schema
schema.executeMainSchemaDdl(dataSource);

// Add audit columns
schema.executeAuditSchemaDdl(dataSource);

// Clear all data
schema.executeTruncateSchemaDdl(dataSource);

// Drop the schema
schema.executeDropSchemaDdl(dataSource);
}</pre>
"
java_class_3b7d0b217a1fd236,MariaDbCheapSchemaTest,MariaDbCheapSchemaTest,class,java,net.netbeing.cheap.db.mariadb,D:\src\claude\cheap\cheap-db-mariadb\src\test\java\net\netbeing\cheap\db\mariadb\MariaDbCheapSchemaTest.java,33,,,,,,,,,,net.netbeing.cheap.db.mariadb.MariaDbCheapSchemaTest
